Flowable,Alternate Unit ,Reference Unit,Conversion Factor,External Reference,UUID
"turbined water to lake, regionalized, CA",m3,kg,1000.0,added,7596d513-4e44-4949-927d-9d9800d6c156
"lake water, regionalized, PH",m3,kg,1000.0,added,76e89489-f15f-4ef4-8fe1-c7270f9f0098
"cooling water to lake, regionalized, VE",m3,kg,1000.0,added,76eff293-c8ef-416d-b4ec-fb11c43e49dd
"fresh water, regionalized, PT",m3,kg,1000.0,added,770a1cea-fd4f-4753-98e4-c95a711ff647
"processed water to lake, regionalized, NL",m3,kg,1000.0,added,771543d7-d3b3-4245-8a32-1c7737d6028f
"ground water, regionalized, SG",m3,kg,1000.0,added,774baa49-526d-4987-b154-744d8544d3c9
"collected rainwater to river, regionalized, LV",m3,kg,1000.0,added,775476d7-ba2f-4f5f-9a52-3e410c423035
"collected rainwater to lake, regionalized, IT",m3,kg,1000.0,added,776910be-5aff-4d6a-9563-ece770be06b4
"fresh water, regionalized, TR",m3,kg,1000.0,added,77d6ddb1-03d0-4e26-963f-9666f454f466
"turbined water to lake, regionalized, AU",m3,kg,1000.0,added,77e0b9db-925e-4242-a4dd-c0d67a21de8a
"turbined water to lake, regionalized, BE",m3,kg,1000.0,added,78060c22-cd2b-4c6c-84a5-e455369901e6
"ground water, regionalized, CH",m3,kg,1000.0,added,789b9511-3908-42fc-b1df-c6eeaa0897a0
"river water,  moderate scarcity",m3,kg,1000.0,added,78b3f677-9dfa-430c-b6c2-f14bb1c42020
"turbined water to lake, regionalized, NO",m3,kg,1000.0,added,78f21311-c1b8-4524-8db0-5988f4f857d2
"river water to turbine, regionalized, ES",m3,kg,1000.0,added,78fb6311-8b3f-4954-92c8-d4f4da2a80ec
"lake water, regionalized, TR",m3,kg,1000.0,added,7947e000-fda0-499f-a6f3-56ba6dc6bd7b
"collected rainwater to river, regionalized, ZA",m3,kg,1000.0,added,7971452b-444e-4ab5-96cf-bbedcd65e496
"river water, regionalized, SE",m3,kg,1000.0,added,79ebe012-e549-4af4-b56f-40129eb5b4f3
"ground water, regionalized, NO",m3,kg,1000.0,added,7a0c2b3e-ed9e-470e-8746-3fed1a83a48a
"fresh water, regionalized, FI",m3,kg,1000.0,added,7ac6d996-cf73-4fac-99be-42351282f8fe
"lake water, regionalized, CA",m3,kg,1000.0,added,7af6e6cd-5850-4c9d-aa8b-dd40ec0fb9d5
"river water, regionalized, BA",m3,kg,1000.0,added,7b409f88-ad1f-4a24-8d02-9195b33085ea
"turbined water to lake, regionalized, LV",m3,kg,1000.0,added,7b4d65c2-8524-468f-a8e9-3dbbe3597530
"turbined water to lake, regionalized, FR",m3,kg,1000.0,added,7c2d3678-575d-411f-b1e2-5ca1f742157a
"cooling water to river, regionalized, LT",m3,kg,1000.0,added,7cb8ba96-6fea-4a00-8e2a-6f2df86cc071
"processed water to groundwater, regionalized, CI",m3,kg,1000.0,added,7cbbfdc0-f5ba-48ab-a9f6-91310e9d1e0a
"processed water to river, regionalized, SG",m3,kg,1000.0,added,7cddf94d-9fd3-4868-a9e4-1ffc73c6b3b6
"lake water to turbine, regionalized, UA",m3,kg,1000.0,added,7d022b09-ca3f-4596-88f4-22bebf78527d
"turbined water to river, regionalized, CN",m3,kg,1000.0,added,7d4819e7-dc8d-42af-a387-5fa10435a733
"turbined water to river, regionalized, IT",m3,kg,1000.0,added,7d6ed2b5-ce25-42ca-86b7-a20e7ea4f949
"river water to turbine, regionalized, DK",m3,kg,1000.0,added,7db6dcbf-b8da-4677-a6db-298366ecee78
"turbined water to lake, regionalized, CN",m3,kg,1000.0,added,7e1866f7-f36f-48ba-bba1-b35d95aeec2f
"river water, regionalized, LU",m3,kg,1000.0,added,7eb0e3b3-5eb6-4ddf-b3df-41c1eced0e15
"processed water to lake, regionalized, MY",m3,kg,1000.0,added,7eb1a852-bc6d-4f91-ac54-b5eab18ceed7
"cooling water to river, regionalized, CH",m3,kg,1000.0,added,7eff6d5d-e415-45e3-a682-98c2ef93c547
"river water to turbine, regionalized, IN",m3,kg,1000.0,added,7fc07bfd-49c6-4c78-856d-e4b5de19644b
"turbined water to river, regionalized, UA",m3,kg,1000.0,added,7fc5c31a-861c-4096-aa70-1922d3377a3a
"processed water to river, regionalized, ZA",m3,kg,1000.0,added,7fe98f1e-fed2-40ab-bd2f-4f5b92ffc774
"ground water, regionalized, KR",m3,kg,1000.0,added,810339ba-f660-4461-b502-4ae5f43aa126
Water for industrial use,m3,kg,1000.0,added,81960a30-5488-4358-a28a-a0ee1f43f0f2
"processed water to lake, regionalized, GR",m3,kg,1000.0,added,81d256fb-51f0-4ed5-8fcf-9995dd690917
"processed water to groundwater, regionalized, LT",m3,kg,1000.0,added,82040fe8-7c90-4818-96fa-e4d47c4297aa
waste water - treated,m3,kg,1000.0,added,8215cec6-029b-4297-a8c2-6f893b1f8412
"river water, regionalized, BR",m3,kg,1000.0,added,82a76049-a75e-4ab8-af59-16fb4e29db56
"cooling water to lake, regionalized, LT",m3,kg,1000.0,added,8302fbca-fd09-477c-b5f9-2a23275e22ae
"turbined water to river, regionalized, HU",m3,kg,1000.0,added,83815c4d-bf02-4fa0-8024-5aef8afc148a
"river water to turbine, regionalized, UA",m3,kg,1000.0,added,8433ffb6-bbbb-4c94-9d2e-4c227f2c35cb
"collected rainwater to river, regionalized, LU",m3,kg,1000.0,added,84a4e372-dc54-4ad5-8170-5a3d5f0933c6
"river water to turbine, regionalized, FR",m3,kg,1000.0,added,84b80ace-3d33-4502-8ac3-23cb87c26b88
"cooling water to lake, regionalized, SL",m3,kg,1000.0,added,84db0937-b8f9-494d-9b9a-f7f24a2d9f08
"turbined water to lake, regionalized, RS",m3,kg,1000.0,added,84ee060c-f002-461a-ab53-709510bb1061
"collected rainwater to lake, regionalized, PL",m3,kg,1000.0,added,85f63186-e3d3-4792-9051-2e156f69cd47
"turbined water to river, regionalized, UZ",m3,kg,1000.0,added,861cbff1-363a-4ae4-9b8f-bc0f2343921a
"lake water, regionalized, DE",m3,kg,1000.0,added,86461333-fdbb-4efb-a2ce-16fb225c16f2
"river water, regionalized, CI",m3,kg,1000.0,added,86570724-b95f-4c1f-a60e-721e35149e40
"turbined water to lake, regionalized, HU",m3,kg,1000.0,added,86b3a7f2-1c16-47c0-9f6f-66e35827d619
"cooling water to lake, regionalized, US",m3,kg,1000.0,added,8719f66b-55c0-4dea-9410-e26529ee9e5e
"collected rainwater to river, regionalized, GR",m3,kg,1000.0,added,873b7fb4-7a63-4cbb-94a6-5bf10fe4a0b6
"fresh water, regionalized, MK",m3,kg,1000.0,added,874891f3-2d4b-4306-b31b-5153775331b2
"turbined water to lake, regionalized, MY",m3,kg,1000.0,added,87cf6984-f415-47b8-b94c-c8fe8c5c593e
"fresh water, regionalized, CH",m3,kg,1000.0,added,87e88eb8-8ec6-4aba-b50f-b071f84d8872
"fresh water, regionalized, BE",m3,kg,1000.0,added,885f46ee-fccd-4b31-989e-a7c5c4093bed
"cooling water to river, regionalized, CL",m3,kg,1000.0,added,8890cd6c-814d-448b-8474-bb578a798790
"turbined water to river, regionalized, LK",m3,kg,1000.0,added,889ed3ed-be30-4697-b943-e2290f66bb8d
"cooling water to lake, regionalized, ES",m3,kg,1000.0,added,88f66b61-ac81-4259-85c9-6a61fc2aeb0a
"lake water to turbine, regionalized, AU",m3,kg,1000.0,added,891b025d-319d-4d07-9aea-5127240cbca8
"processed water to lake, regionalized, IE",m3,kg,1000.0,added,89499d12-a13b-4b07-a6e3-7e25c02080ff
"river water, regionalized, IS",m3,kg,1000.0,added,89837410-9ac5-4d36-8429-f462ebfc2995
"ground water, regionalized, BR",m3,kg,1000.0,added,8998e053-091c-4158-9ecc-308b8c1eca1c
"cooling water to river, regionalized, UA",m3,kg,1000.0,added,89aa7efc-fdff-409a-95eb-b953697ae8ac
"collected rainwater to lake, regionalized, GB",m3,kg,1000.0,added,8a1404d1-05a8-4503-8054-ef6216ffced2
"processed water to lake, regionalized, RO",m3,kg,1000.0,added,8a629526-befa-4063-a9c5-61ed3aedc2bc
"processed water to groundwater, regionalized, CL",m3,kg,1000.0,added,8aef6275-4a7f-4440-930c-0178363d9b80
"river water, regionalized, BG",m3,kg,1000.0,added,8b34b4ca-a10d-46a9-8fe4-b8fa2dfd8d0c
"lake water to turbine, regionalized, IE",m3,kg,1000.0,added,8b3f2e91-e537-4c5b-9946-3a2ca60425e9
Green water,kg,m3,0.0010,added,8b54ef24-0b18-11e7-93ae-92361f002671
Fossil water,kg,m3,0.0010,added,8b54f35c-0b18-11e7-93ae-92361f002671
"cooling water to lake, regionalized, AU",m3,kg,1000.0,added,8c535206-642a-470e-b5c1-a70b95eaed36
"river water, regionalized, VN",m3,kg,1000.0,added,8d27c5b8-b73c-48f8-ba62-0bcd6532e7f4
"cooling water to lake, regionalized, ZA",m3,kg,1000.0,added,8d359692-e3d8-44ae-a546-df5ab665fab8
"cooling water to lake, regionalized, BD",m3,kg,1000.0,added,8d368815-c32d-4e42-85ba-89c343d5ae0b
"collected rainwater to lake, regionalized, SL",m3,kg,1000.0,added,8d587cba-88e1-4135-a7c4-1370406c3979
"turbined water to lake, regionalized, SI",m3,kg,1000.0,added,8d852afd-e883-4414-8ec2-204d5f26e9f5
"collected rainwater to lake, regionalized, DK",m3,kg,1000.0,added,8d87cfc8-b56c-4c2c-9117-443da6ef55dc
"processed water to river, regionalized, RU",m3,kg,1000.0,added,8d9d3970-7acd-4b6a-ad90-7680777d701e
"cooling water to river, regionalized, SI",m3,kg,1000.0,added,8df74e0d-156c-453d-b26a-b9cb1c04827b
"collected rainwater to river, regionalized, BR",m3,kg,1000.0,added,8e0cd091-b231-48ba-a1f0-ad25fac62c33
"lake water, extreme scarcity",m3,kg,1000.0,added,8e0effcb-0b79-4e31-a822-127dff63f1ff
"processed water to lake, regionalized, SE",m3,kg,1000.0,added,8e685b16-4f3e-40e4-92dc-6aeb995ae220
"river water, regionalized, BE",m3,kg,1000.0,added,8e79ffb5-e1f6-4675-9bd1-ddf32ea19845
"lake water to turbine, regionalized, FR",m3,kg,1000.0,added,8ea9dab2-01dc-4274-9767-be9b0b2a8c0b
"processed water to river, regionalized, MK",m3,kg,1000.0,added,8ebf40e2-e7c0-407f-88c6-8dc234f9f89d
"lake water to turbine, regionalized, ZA",m3,kg,1000.0,added,8edbdd11-68aa-444d-b755-9aa21b93c7df
"ground water, regionalized, AU",m3,kg,1000.0,added,8f1e3568-d79f-4704-b877-1111e7e2dbf4
"lake water, regionalized, TH",m3,kg,1000.0,added,8f6ca892-c528-4d91-8e18-22bbb1e71f36
"fresh water, regionalized, JP",m3,kg,1000.0,added,8fab7117-f412-4e3e-a8e9-1b41e9f8e8f2
"collected rainwater to river, regionalized, RS",m3,kg,1000.0,added,8ffd8bf3-6c4d-4cef-b4c6-85f144ea6f85
"lake water, regionalized, CH",m3,kg,1000.0,added,9010678e-c7fd-4325-96e2-6dd6ff834b64
"river water, regionalized, BD",m3,kg,1000.0,added,90154449-f1ce-409d-8ce6-97adb97c0e2e
"river water to turbine, regionalized, SE",m3,kg,1000.0,added,903d6b9e-5df2-4629-b358-c0ff2e37f4ba
"river water to turbine, regionalized, BA",m3,kg,1000.0,added,90685ce3-24ed-4354-8c8a-abe6080a676f
"turbined water to river, regionalized, DE",m3,kg,1000.0,added,90bb440b-5c4d-4b01-bd92-d3560409df0b
"cooling water to river, regionalized, ID",m3,kg,1000.0,added,90f118ae-6294-41a1-acf9-2fe38351c4aa
"turbined water to lake, regionalized, KR",m3,kg,1000.0,added,910291d3-59d0-4583-8011-5032395edb52
"ground water, very high scarcity",m3,kg,1000.0,added,912b9d75-efb7-4003-868a-cece3831c5b3
"cooling water to lake, regionalized, FR",m3,kg,1000.0,added,9159622d-bf57-48c9-9dd0-74e09d9e4420
"collected rainwater to river, regionalized, FR",m3,kg,1000.0,added,9161998f-0ba1-4741-803f-bcbc1a0e66c2
"collected rainwater to river, regionalized, NG",m3,kg,1000.0,added,9218f815-5513-4b72-b6ab-fac9e68d15e3
"turbined water to lake, regionalized, BA",m3,kg,1000.0,added,923acac4-19da-4c15-9b49-491f3a67be20
"river water,  medium scarcity",m3,kg,1000.0,added,929eed14-a304-41e0-bcfd-4885070ef7d5
"collected rainwater to river, regionalized, ID",m3,kg,1000.0,added,934bb167-51e1-41ab-9e03-536b86e5e417
"collected rainwater to river, regionalized, BD",m3,kg,1000.0,added,9363048b-f168-4a18-9000-bab8dd1d0c86
"processed water to groundwater, regionalized, IS",m3,kg,1000.0,added,93c95d98-bbd5-4bfe-ace1-f6f1d92a775f
"fresh water, regionalized, IN",m3,kg,1000.0,added,93e56986-7bf9-49b0-a01c-576d1227db15
"river water, regionalized, LK",m3,kg,1000.0,added,9407eca4-48c8-4499-8b31-605107309a0b
"river water, regionalized, PL",m3,kg,1000.0,added,9442b36b-70ac-4e84-9007-1a0566d9d671
"processed water to lake, regionalized, CI",m3,kg,1000.0,added,9458546b-a458-4727-9f65-a120d6492083
"ground water, regionalized, UZ",m3,kg,1000.0,added,94911a1a-7e80-4929-8af2-6c241a3ed8b2
"processed water to lake, regionalized, NZ",m3,kg,1000.0,added,94e7c48b-8cce-460b-95ec-5f6b350d127a
"turbined water to river, regionalized, AR",m3,kg,1000.0,added,952144ce-2f8b-4220-92e6-4321cc6f913c
"collected rainwater to lake, regionalized, LT",m3,kg,1000.0,added,95312f11-a8ec-46d3-98d0-6cdaf8e6a36c
"processed water to river, regionalized, VE",m3,kg,1000.0,added,953a5b64-55dd-4f2c-9cd8-2e5c33d7a60c
"turbined water to river, regionalized, VE",m3,kg,1000.0,added,962ca7c9-5055-4d63-a47e-d336441a2e0d
"turbined water to lake, regionalized, CZ",m3,kg,1000.0,added,968a1b27-e362-425b-9192-bb4862cf967d
"lake water to turbine, regionalized, BR",m3,kg,1000.0,added,96fe6943-f17c-4d23-a0fb-f2730e1d589f
"cooling water to river, regionalized, LU",m3,kg,1000.0,added,97324f12-2702-4a31-88d8-7b798617d081
"river water to turbine, regionalized, LK",m3,kg,1000.0,added,97ace639-f4a4-40b4-aaa0-21ed7caa48d0
"collected rainwater to river, regionalized, PT",m3,kg,1000.0,added,97db20c5-b03a-4a88-8702-5344238b0dfd
"collected rainwater to lake, regionalized, TR",m3,kg,1000.0,added,98a11f86-6569-418c-9424-e24cd541c20c
"ground water, regionalized, CI",m3,kg,1000.0,added,98ed05bd-aa79-41dd-8e2e-3eae3df25d18
"cooling water to river, regionalized, US",m3,kg,1000.0,added,990fff41-2bc7-4361-af82-2761c7c442c5
"processed water to river, regionalized, LK",m3,kg,1000.0,added,99c8b227-5ea1-44f0-ac0c-ad9402dfb7e9
"processed water to lake, regionalized, SL",m3,kg,1000.0,added,9a724181-83ca-406e-b7ad-6963f6a60831
"river water, regionalized, LT",m3,kg,1000.0,added,9a992aeb-8916-40ab-b31d-19b862786a6d
"river water, regionalized, KR",m3,kg,1000.0,added,9aa4c2fc-dfe3-4cd1-86d9-7180017adfa5
"cooling water to lake, regionalized, BE",m3,kg,1000.0,added,9aedc1c8-c46a-4bc3-8921-3d29641bb69c
"turbined water to lake, regionalized, CO",m3,kg,1000.0,added,9b2a9844-3143-4b06-a6ec-523323a6bdcb
"fresh water, regionalized, RS",m3,kg,1000.0,added,9b37a4f2-1f6b-4757-8064-15cb00d68082
"lake water, regionalized, ZA",m3,kg,1000.0,added,9b6cdf04-c991-4950-9730-cf7fc7ca565e
"ground water, regionalized, UA",m3,kg,1000.0,added,9bbf732c-166a-4523-9c59-b53eb0379712
"river water to turbine, regionalized, TR",m3,kg,1000.0,added,9c69e6db-9307-4f38-b4a1-92413e17c9af
"turbined water to lake, regionalized, ES",m3,kg,1000.0,added,9ccd6b1e-f29a-4a67-b87a-3051b4f8b309
"turbined water to river, regionalized, ID",m3,kg,1000.0,added,9ce3b338-42cd-4656-97e0-6702ff5ff7fa
"cooling water to lake, regionalized, NZ",m3,kg,1000.0,added,9d9cb062-6926-4509-964b-fb014df2cc3a
"turbined water to lake, regionalized, IE",m3,kg,1000.0,added,9de44d82-44c2-4c92-a6d1-ea0b4583bfab
"lake water, regionalized, LT",m3,kg,1000.0,added,9e9de160-3fc0-4125-bd3d-a23a37e9bfd7
"lake water to turbine, regionalized, DE",m3,kg,1000.0,added,9ebe8764-cf79-4659-bc0c-d3149f1fe76e
"processed water to groundwater, regionalized, RS",m3,kg,1000.0,added,9ec42fd9-b2e1-4827-8186-e7e47112c35c
"processed water to groundwater, regionalized, TR",m3,kg,1000.0,added,9ec69841-a29d-4583-a23a-44f973fde090
"processed water to lake, regionalized, TR",m3,kg,1000.0,added,9ecab963-9708-4787-9f64-522358ffa2fa
"cooling water to lake, regionalized, SI",m3,kg,1000.0,added,9ed90e62-9f51-4d6c-b06f-4e3893de4af2
"processed water to groundwater, regionalized, PK",m3,kg,1000.0,added,9edf77ef-a37b-49b4-92d0-83824b09856a
"lake water, regionalized, PK",m3,kg,1000.0,added,9eea5d93-412c-438a-818e-b0988bba83da
"lake water, regionalized, MK",m3,kg,1000.0,added,9f191e34-db20-4c8b-b21a-fdc322ecf9f0
"river water to turbine, regionalized, KR",m3,kg,1000.0,added,9fe0e098-8f92-4acb-840e-6eb004b1ddc0
"lake water to turbine, regionalized, PH",m3,kg,1000.0,added,9fe892fa-c23b-428a-a7d2-b8d64a9f537c
"processed water to river, regionalized, UA",m3,kg,1000.0,added,9ff028fa-8d96-44fd-b578-6c5d1180e606
"collected rainwater to river, regionalized, SE",m3,kg,1000.0,added,9ff53319-9218-4314-bdb3-f87e83141f2c
"processed water to lake, regionalized, ZA",m3,kg,1000.0,added,a02a0986-55f2-447b-9a0e-235230e8a3cd
"river water to turbine, regionalized, GB",m3,kg,1000.0,added,a037d15d-7220-4595-a34c-d73c15b2f211
"lake water, regionalized, CO",m3,kg,1000.0,added,a0390cc7-c0d0-481b-9d38-f5c77a1abde1
"cooling water to lake, regionalized, LU",m3,kg,1000.0,added,a0532f67-f587-4c93-84d6-0609002006dc
"collected rainwater to river, regionalized, MY",m3,kg,1000.0,added,a0f8a92b-f7f6-47b7-8e2e-cad140e013f5
"processed water to groundwater, regionalized, CZ",m3,kg,1000.0,added,a10b55d1-8b5d-46f9-b1a7-20732e07e4a0
"river water, regionalized, AU",m3,kg,1000.0,added,a1d4cf0f-2ec2-4ab8-be37-d78bda1946a7
"river water to turbine, regionalized, EE",m3,kg,1000.0,added,a20b28cf-d8df-4da5-bc84-2c19518c3943
"lake water to turbine, regionalized, MK",m3,kg,1000.0,added,a20c3fbb-2148-4347-a7e4-c4a33739bc0c
"collected rainwater to lake, regionalized, TH",m3,kg,1000.0,added,a2563a54-2912-4157-b2ad-4b1e6aa96447
"lake water to turbine, regionalized, AR",m3,kg,1000.0,added,a2572f7f-2a8e-4842-91d7-f360171b2354
"lake water, regionalized, LK",m3,kg,1000.0,added,a2b47db5-c949-4bb0-90b4-b1b576c40f02
"cooling water to lake, regionalized, IT",m3,kg,1000.0,added,a2b8122b-138f-4c54-a42e-c52aba27850f
"cooling water to river, regionalized, BD",m3,kg,1000.0,added,a2c4fb6a-7afd-4c22-aba5-cb82f7135c2d
"fresh water, regionalized, SG",m3,kg,1000.0,added,a3056564-b143-4422-a0a5-807a4ec71aae
"river water, regionalized, VE",m3,kg,1000.0,added,a30d6526-80a1-47ca-9b4d-edc4301e8963
"collected rainwater to river, regionalized, BE",m3,kg,1000.0,added,a30f244f-69e1-4bda-8652-ba149c55df1f
"cooling water to lake, regionalized, UZ",m3,kg,1000.0,added,a34e252c-27ff-4921-baa5-0f2ad645beff
"processed water to groundwater, regionalized, NG",m3,kg,1000.0,added,a3611eea-7bf9-46a8-ab53-f3ae19d80c9e
"river water, regionalized, SI",m3,kg,1000.0,added,a394c0bf-66d2-440e-8a34-3b2d8d16a370
"fresh water, regionalized, SE",m3,kg,1000.0,added,a3b09414-0305-437d-8809-e39ebaf26f9c
"collected rainwater to river, regionalized, LT",m3,kg,1000.0,added,a3d1193b-2c5a-4682-9565-ac5e0f63e1ec
"turbined water to lake, regionalized, CH",m3,kg,1000.0,added,a471313c-f63b-419c-888a-24dca1b1597c
"fresh water, regionalized, NZ",m3,kg,1000.0,added,a4a4244c-c3f6-4eed-861d-c6f6eaf6e83c
"processed water to groundwater, regionalized, AT",m3,kg,1000.0,added,a4b80eb9-5a6a-4d92-9c50-15cc74e5c2d1
"processed water to groundwater, regionalized, MY",m3,kg,1000.0,added,a4b98d25-dfc6-493c-8478-c6020e9d1fe2
"river water to turbine, regionalized, HU",m3,kg,1000.0,added,a4ea3cbe-b438-4f6a-86b3-5eb04fd68442
"cooling water to lake, regionalized, SE",m3,kg,1000.0,added,a566073a-8944-45ae-980b-b7677b4a25bd
"cooling water to lake, regionalized, HU",m3,kg,1000.0,added,a5e71bc6-0d3b-43be-a1a0-5aa873114d12
"lake water, regionalized, JP",m3,kg,1000.0,added,a609858d-bfea-41a3-9189-67af37f1f47b
"turbined water to river, regionalized, BG",m3,kg,1000.0,added,a6516552-c67a-416d-bd7f-1e0473c3447e
"processed water to lake, regionalized, CL",m3,kg,1000.0,added,a699eca5-832d-46e4-a40d-770f952244dd
"river water, regionalized, CO",m3,kg,1000.0,added,a6b53051-f0b4-42f6-a766-538eb38dc25f
"cooling water to river, regionalized, SG",m3,kg,1000.0,added,a6dd6e78-cfed-4dca-af60-dca9a73491c1
"turbined water to river, regionalized, KZ",m3,kg,1000.0,added,a6f4b1d2-bffa-4406-ada7-50186d781f5d
"processed water to lake, regionalized, BA",m3,kg,1000.0,added,a7851ba6-728c-4156-b7df-90e41816032c
Water (fresh water),m3,kg,1000.0,added,a7a7d264-116f-4093-8070-26bb0d4346c9
"turbined water to river, regionalized, MY",m3,kg,1000.0,added,a7faeca9-67a3-4e01-b211-8e1243393212
"collected rainwater to river, regionalized, NL",m3,kg,1000.0,added,a818952e-83fe-48be-b128-e7122bec9d95
"collected rainwater to river, regionalized, CH",m3,kg,1000.0,added,a8404e4e-4d6c-40d0-a192-83e53f80f1cd
"turbined water to river, regionalized, GB",m3,kg,1000.0,added,a8effbbe-b269-41c1-8f33-61dc9dcc477a
"collected rainwater to lake, regionalized, IS",m3,kg,1000.0,added,a949d9d2-3c7b-46dc-b25a-8c01947555a5
"turbined water to river, regionalized, PT",m3,kg,1000.0,added,aa6bb8f1-e0a4-4ea7-b84b-cbbd52b1b153
"turbined water to lake, regionalized, VN",m3,kg,1000.0,added,aacca57f-d3a8-4e8e-9981-f966e5fc8a76
"cooling water to lake, regionalized, ID",m3,kg,1000.0,added,ab1aeed6-ca4c-437b-a4be-d42b873f944f
"fresh water, regionalized, DE",m3,kg,1000.0,added,ab30fd4d-2568-4953-9f0d-70606616ef33
"collected rainwater to lake, regionalized, UZ",m3,kg,1000.0,added,ac0996bd-d4fd-4b5a-93f8-6afd14598965
"ground water, regionalized, VN",m3,kg,1000.0,added,ac26bfc9-5c5d-4f25-9063-7ada0e3af9f5
"processed water to lake, regionalized, PT",m3,kg,1000.0,added,ac526bc3-f867-4862-9b89-9e6dea51175d
"processed water to river, regionalized, EE",m3,kg,1000.0,added,ac67851e-0db8-42e2-b19f-3f8fb9b6388d
"river water,  extreme scarcity",m3,kg,1000.0,added,aca683fa-d295-418f-b8bb-17babfa5cb6d
"cooling water to river, regionalized, TR",m3,kg,1000.0,added,ad06891b-a94a-43c8-a96c-15d19e7c7aa4
"turbined water to river, regionalized, MX",m3,kg,1000.0,added,ad6cedf3-abca-4db9-bd3e-8f45ff3dd8f6
"turbined water to river, regionalized, ZA",m3,kg,1000.0,added,ad712f91-ac11-402a-97b3-2732cf4137f3
"river water to turbine, regionalized, GR",m3,kg,1000.0,added,adb1f3e6-489c-4e52-832d-4fb876e238e0
"turbined water to lake, regionalized, CL",m3,kg,1000.0,added,adb5baa6-5046-4e14-a3ab-448a6cda0cc1
"turbined water to lake, regionalized, SK",m3,kg,1000.0,added,ade67db4-6cae-4458-86d6-834825192a90
"processed water to lake, regionalized, IN",m3,kg,1000.0,added,ae1fbecf-ec80-428d-bd4d-ebb6c7c358e0
"processed water to groundwater, regionalized, KR",m3,kg,1000.0,added,aea6f1d1-fc08-4f27-99ad-4a38124cfff1
"collected rainwater to lake, regionalized, GR",m3,kg,1000.0,added,aeeec11b-0a2d-42fb-90de-7207602ecb92
"river water to turbine, regionalized, SI",m3,kg,1000.0,added,af23a019-2b12-473a-9bcf-c7f185676841
"ground water, regionalized, NL",m3,kg,1000.0,added,af74c70b-220e-40e0-a6f3-47539ecc964c
"lake water, regionalized, US",m3,kg,1000.0,added,af789f43-d911-4202-a0a2-5a4f404540ff
"lake water, regionalized, BA",m3,kg,1000.0,added,afce361f-ccef-4bfb-8e79-77a6359e612f
"turbined water to river, regionalized, AT",m3,kg,1000.0,added,affc3d16-50d3-4f6b-86a1-fad95f3cc18c
"fresh water, regionalized, CZ",m3,kg,1000.0,added,b0226774-7d65-4dc5-9bfa-9f8332dc24ca
"river water to turbine, regionalized, DE",m3,kg,1000.0,added,b035327a-8b0e-49ca-9b96-1f83be180689
"turbined water to river, regionalized, BD",m3,kg,1000.0,added,b05b7a17-9e20-4753-abc1-56351ec79064
"processed water to groundwater, regionalized, NO",m3,kg,1000.0,added,b09b06c4-df5d-48bc-bf3e-a211d64a0bcd
"collected rainwater to lake, regionalized, US",m3,kg,1000.0,added,b09ea9a0-3cb3-43f0-aef7-792917465ead
"lake water, regionalized, GR",m3,kg,1000.0,added,b0aa2270-bf45-435e-ba8e-0b4485cf94c2
"lake water to turbine, regionalized, SE",m3,kg,1000.0,added,b0d3c57f-9850-460c-89f1-91a7b91da801
"cooling water to lake, regionalized, PT",m3,kg,1000.0,added,b0e45c47-bfc4-4ddc-bd0e-d6376181f32e
"ground water, regionalized, KZ",m3,kg,1000.0,added,b0f76330-e9a4-479a-b7fa-16842cdb8b84
"fresh water, regionalized, CA",m3,kg,1000.0,added,b1043706-674d-48d9-9b3f-0e25ce64b624
"processed water to lake, regionalized, FR",m3,kg,1000.0,added,b147085e-db59-4d57-b3a2-9c213e35292a
"turbined water to lake, regionalized, UZ",m3,kg,1000.0,added,b1ad6c73-b4c8-4d37-8f36-85752d4b58d2
"river water, regionalized, UZ",m3,kg,1000.0,added,b1b5983c-899e-4300-a6bc-17eab0e608ff
"Water (river water from technosphere, rain water)",m3,kg,1000.0,added,b1f08696-54fa-458d-9a6b-af614db865e6
"turbined water to river, regionalized, CL",m3,kg,1000.0,added,b21e8dfc-1b21-47b6-8d51-40213fbbd82a
"processed water to river, regionalized, PK",m3,kg,1000.0,added,b22949eb-c075-46b9-842a-25e2dac0c41a
"processed water to river, regionalized, CL",m3,kg,1000.0,added,b3170eb6-a4ed-4dfd-b63c-0a26b08c60f2
"ground water, regionalized, CN",m3,kg,1000.0,added,b34fd4ad-67e0-4ee5-9591-6a5650304627
"cooling water to river, regionalized, BG",m3,kg,1000.0,added,b354dc12-00c7-406d-819f-438093173acb
"fresh water, regionalized, MX",m3,kg,1000.0,added,b35566b4-5c1d-4023-937d-a5b8301ca34e
"turbined water to river, regionalized, SG",m3,kg,1000.0,added,b35fee69-e194-4224-a824-2b91d9e4ce3d
"processed water to lake, regionalized, ID",m3,kg,1000.0,added,b37560e0-76e7-49cd-955b-ad3340a6bf29
"lake water to turbine, regionalized, IT",m3,kg,1000.0,added,b531b4e5-3b40-4f05-89f7-2e86caf9be2e
"ground water, regionalized, FR",m3,kg,1000.0,added,b793d098-7c75-43b6-9b85-1199a072f7d3
"lake water to turbine, regionalized, BA",m3,kg,1000.0,added,b7c42f30-9852-4de2-8c5f-dc220e34f0a9
"processed water to lake, regionalized, SK",m3,kg,1000.0,added,b82f806b-8f6e-47b0-b116-762a5b6bf443
