Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,,Second CAS
"1,3-Dioxolan-2-one",000096-49-1,,,kg,chemical,,,water/unspecified,5b7d620e-2238-5ec9-888a-6999218b6974,,,96-49-1
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,"air/low population density, long-term",d21da01e-f96f-4db5-9746-7b70db8a1f2c,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,air/lower stratosphere + upper troposphere,90653a29-2f53-4b1b-88bd-9ae2fe64a8d6,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,air/non-urban air or from high stacks,83bafcf1-2f2e-4a32-89a0-f1f16ca10626,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,air/unspecified,09db39be-d9a6-4fc3-8d25-1f80b23e9131,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,air/urban air close to ground,38a622c6-f086-4763-a952-7c6b3b1c42ba,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,water/ground-,c5de5e4d-85cf-4102-9ff1-5248d8928ba1,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,"water/ground-, long-term",564dde7f-e713-4baf-84aa-7a11ffa7e2cd,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,water/ocean,aae8aac7-b81d-41e4-b356-912b369d1c55,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,water/surface water,d6911d36-3fec-41fe-8ef9-540f6543a240,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,water/unspecified,d835b7aa-288b-4b3a-966b-3f64f36ed220,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,"air/low population density, long-term",9dd01d5b-3677-4822-9cd4-36d21b0e23d1,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,air/lower stratosphere + upper troposphere,b78e77cb-7636-4420-855e-17239984f8b3,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,air/non-urban air or from high stacks,cc9a442f-c96a-4bdc-990d-8b58f72b4e07,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,air/unspecified,048baf1e-6cdc-44a5-92e2-32d15ff54885,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,air/urban air close to ground,541a823c-0aad-4dc4-9123-d4af4647d942,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,water/ground-,5074e239-b510-49aa-928c-fcdb462481d8,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,"water/ground-, long-term",cfa50eaf-a817-4352-b9fe-aa834240d269,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,water/ocean,8d28a5b3-1b1c-41e9-9eba-90c607aad7db,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,water/surface water,e4526360-b2a1-4e77-9f00-57dbfe228bde,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,water/unspecified,070dc6b3-0976-45a0-803e-0a87d7e96959,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentene,000109-67-1,,amylene,kg,chemical,,,"air/low population density, long-term",47a8dfb8-f1e5-4460-b7ca-eeea1ca44596,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,air/lower stratosphere + upper troposphere,87eed31b-5a6b-43ae-9a02-778a8c6e4ff8,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,air/non-urban air or from high stacks,ccfea48e-0aec-4573-8ed1-fb7c0f1b14ae,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,air/unspecified,651cbfbb-3027-4e20-a5b0-4a67e86e837a,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,air/urban air close to ground,8cbaa905-41b0-4327-8403-bf1c8eb25429,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,water/ground-,7a41be00-7040-4097-99be-a8085e86bf5e,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,"water/ground-, long-term",4530576f-7f93-4c43-b13e-8cd2da98f501,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,water/ocean,9d99096b-4e70-452b-9e3b-b2296613bc0f,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,water/surface water,f3cf9958-739f-41c1-a679-f550cf0e9b6c,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,water/unspecified,109c3ee9-b9df-4c11-bd77-b8571773d9ad,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
"2,2,4-Trimethyl pentane",000540-84-1,,,kg,chemical,,,air/unspecified,5e98fd60-8da0-4006-9729-4d2797f96302,,,540-84-1
"2,4-D",000094-75-7,C8H6Cl2O3,,kg,chemical,,,air/non-urban air or from high stacks,e6137e6e-84a6-4fa1-a5bf-47c8153d7c05,,,94-75-7
"2,4-D",000094-75-7,,"(2,4-dichlorophenoxy)acetic acid",kg,chemical,,,soil/agricultural,f681eb3c-854a-4f78-bcfe-76dfbcf9df3c,,,94-75-7
"2,4-D amines",002008-39-1,,"2,4-D dimethylamine salt",kg,group?,,,air/non-urban air or from high stacks,4f777e05-70f9-4a18-a406-d8232325073f,,,
"2,4-D amines",002008-39-1,,"2,4-D dimethylamine salt",kg,group?,,,soil/agricultural,0eba8639-12c1-40ce-b1b6-e3394ec94dc0,,,
"2,4-D amines",002008-39-1,,"2,4-D dimethylamine salt",kg,group?,,,water/ground-,49b29466-706e-42c3-ac8c-f89f9530cb60,,,
"2,4-D amines",002008-39-1,,"2,4-D dimethylamine salt",kg,group?,,,water/surface water,c7dcf08c-f297-495b-b7db-f4f54799814b,,,
"2,4-D ester",053467-11-1,,"2,4-D polypropoxybutyl ester",kg,chemical,,,air/non-urban air or from high stacks,99e1284e-58fc-4652-bc24-b796b858b24e,,,
"2,4-D ester",053467-11-1,,"2,4-D polypropoxybutyl ester",kg,chemical,,,soil/agricultural,6986913c-284b-4173-95fe-4a242498b1bc,,,
"2,4-D ester",053467-11-1,,"2,4-D polypropoxybutyl ester",kg,chemical,,,water/ground-,69bb7dd8-43bc-49ff-a67c-0eb8e82558d0,,,
"2,4-D ester",053467-11-1,,"2,4-D polypropoxybutyl ester",kg,chemical,,,water/surface water,e6367875-dd2b-4d12-8d03-94cf2e607815,,,
"2,4-DB",000094-82-6,,,kg,chemical,,,air/non-urban air or from high stacks,0b2a8601-aa6e-42e9-8091-21cba87c0f0c,,,94-82-6
"2,4-DB",000094-82-6,,,kg,chemical,,,soil/agricultural,d051c442-f206-4d70-844d-7d44dbbc3d8e,,,94-82-6
"2,4-DB",000094-82-6,,,kg,chemical,,,water/ground-,68f64fd1-01f5-43b4-b191-0aebfffcf293,,,94-82-6
"2,4-DB",000094-82-6,,,kg,chemical,,,water/surface water,05136060-b6a6-4383-ae42-6ca90aeec59a,,,94-82-6
"2,4-di-tert-butylphenol",000096-76-4,,,kg,chemical,,,water/unspecified,e3d35475-3f5c-5099-9506-8cc81a188fb1,,,1246816-88-5; 96-76-4; 96-76-4
"2-Amino-3-chloro-1,4-naphthoquinone",002797-51-5,,,kg,chemical,,,soil/agricultural,f9ba52c4-ffe0-53fc-9724-6c1daebcbc1c,,,2797-51-5
2-Aminopropanol,002749-11-3,,L-alalinol,kg,chemical,,,"air/low population density, long-term",cdce48e7-8c92-4214-b948-cc46a4700fe6,,,78-91-1; 6168-72-5
2-Aminopropanol,002749-11-3,,L-alalinol,kg,chemical,,,air/lower stratosphere + upper troposphere,c43cede7-18e7-49a4-aaf1-574975584a1b,,,78-91-1; 6168-72-5
2-Aminopropanol,002749-11-3,,L-alalinol,kg,chemical,,,air/non-urban air or from high stacks,b1fa0fe9-49d4-4e1d-9502-3b2d10a313c9,,,78-91-1; 6168-72-5
2-Aminopropanol,002749-11-3,,L-alalinol,kg,chemical,,,air/unspecified,3e07d825-a98e-4cdc-afa3-610fa7739261,,,78-91-1; 6168-72-5
2-Aminopropanol,002749-11-3,,L-alalinol,kg,chemical,,,air/urban air close to ground,a0fec60d-3f74-48bf-a2d2-58c30fc13e53,,,78-91-1; 6168-72-5
2-Aminopropanol,002749-11-3,,L-alalinol,kg,chemical,,,water/ground-,22d1d385-5aa4-404d-8c14-2680ce4accb0,,,78-91-1; 6168-72-5
2-Aminopropanol,002749-11-3,,L-alalinol,kg,chemical,,,"water/ground-, long-term",d37d4cea-4096-4303-8d9d-96e48b8f9ff0,,,78-91-1; 6168-72-5
2-Aminopropanol,002749-11-3,,L-alalinol,kg,chemical,,,water/ocean,3f00f5cf-1c58-428d-aef7-738f2c105e88,,,78-91-1; 6168-72-5
2-Aminopropanol,002749-11-3,,L-alalinol,kg,chemical,,,water/surface water,96db42b8-64e4-4a84-9b16-cd8f73c615d6,,,78-91-1; 6168-72-5
2-Aminopropanol,002749-11-3,,L-alalinol,kg,chemical,,,water/unspecified,ea6f1100-7fe4-4f66-92cc-a69fe2dcca77,,,78-91-1; 6168-72-5
2-chlorobenzaldehyde,000089-98-5,,,kg,chemical,,,water/unspecified,2b8204fa-c9bf-5465-9aa2-d79024a19b1a,,,89-98-5
2-Methyl pentane,000107-83-5,C6H14,Isohexane,kg,chemical,,,"air/low population density, long-term",1b4da243-3412-4425-b44e-dea22e7ebd43,,,107-83-5
2-Methyl pentane,000107-83-5,C6H14,Isohexane,kg,chemical,,,air/lower stratosphere + upper troposphere,a9afc2a9-9479-44b6-afcf-23f305bb261c,,,107-83-5
2-Methyl pentane,000107-83-5,C6H14,Isohexane,kg,chemical,,,air/non-urban air or from high stacks,d25a3860-4be0-4fb3-ae03-2a4f04d2aa6f,,,107-83-5
2-Methyl pentane,000107-83-5,C6H14,Isohexane,kg,chemical,,,air/unspecified,059e6a26-7035-4621-a360-c71c5778eec8,,,107-83-5
2-Methyl pentane,000107-83-5,C6H14,Isohexane,kg,chemical,,,air/urban air close to ground,d5649872-502b-4d23-b882-26d74a9fc4b4,,,107-83-5
2-Methyl-1-propanol,000078-83-1,,"Isobutanol, Isobutyl alcohol",kg,chemical,,,"air/low population density, long-term",88be8e1b-1bdc-46e1-9856-187a95b3d872,,,20440-13-5; 78-83-1; 68989-27-5; 95927-04-1; 78-83-1
2-Methyl-1-propanol,000078-83-1,,"Isobutanol, Isobutyl alcohol",kg,chemical,,,air/lower stratosphere + upper troposphere,17f06f74-feea-4b7c-a125-a67ae6e1dcfb,,,20440-13-5; 78-83-1; 68989-27-5; 95927-04-1; 78-83-1
2-Methyl-1-propanol,000078-83-1,,"Isobutanol, Isobutyl alcohol",kg,chemical,,,air/non-urban air or from high stacks,76e532b3-25c7-487e-894c-5bf306cdd012,,,20440-13-5; 78-83-1; 68989-27-5; 95927-04-1; 78-83-1
2-Methyl-1-propanol,000078-83-1,,"Isobutanol, Isobutyl alcohol",kg,chemical,,,air/unspecified,47bee45d-6d2b-48a6-a0c8-fcb8debc7f5d,,,20440-13-5; 78-83-1; 68989-27-5; 95927-04-1; 78-83-1
2-Methyl-1-propanol,000078-83-1,,"Isobutanol, Isobutyl alcohol",kg,chemical,,,air/urban air close to ground,e2d860e3-1038-4386-a5f1-25ad75d18bbd,,,20440-13-5; 78-83-1; 68989-27-5; 95927-04-1; 78-83-1
2-Methyl-1-propanol,000078-83-1,,"Isobutanol, Isobutyl alcohol",kg,chemical,,,water/ground-,d3f6f514-41e1-4b24-aa56-7d403839a4dd,,,20440-13-5; 78-83-1; 68989-27-5; 95927-04-1; 78-83-1
2-Methyl-1-propanol,000078-83-1,,"Isobutanol, Isobutyl alcohol",kg,chemical,,,"water/ground-, long-term",a0cb36a5-d726-4c6e-9787-971cc763d294,,,20440-13-5; 78-83-1; 68989-27-5; 95927-04-1; 78-83-1
2-Methyl-1-propanol,000078-83-1,,"Isobutanol, Isobutyl alcohol",kg,chemical,,,water/ocean,76a317b6-1c35-4c75-bb00-1cd5ec8c8e17,,,20440-13-5; 78-83-1; 68989-27-5; 95927-04-1; 78-83-1
2-Methyl-1-propanol,000078-83-1,,"Isobutanol, Isobutyl alcohol",kg,chemical,,,water/surface water,79240a49-80cf-4be4-b5c2-bfdd3f4aa249,,,20440-13-5; 78-83-1; 68989-27-5; 95927-04-1; 78-83-1
2-Methyl-1-propanol,000078-83-1,,"Isobutanol, Isobutyl alcohol",kg,chemical,,,water/unspecified,446e7a93-6ac4-4bdf-b97d-03f683c7488c,,,20440-13-5; 78-83-1; 68989-27-5; 95927-04-1; 78-83-1
2-Methyl-2-butene,000513-35-9,,n-Amylene,kg,chemical,,,"air/low population density, long-term",394c876b-9b10-4f7f-b2b7-4e61b691d7c6,,,513-35-9
2-Methyl-2-butene,000513-35-9,,n-Amylene,kg,chemical,,,air/lower stratosphere + upper troposphere,f9501098-4a8e-4cd1-98b7-00afbac477a4,,,513-35-9
2-Methyl-2-butene,000513-35-9,,n-Amylene,kg,chemical,,,air/non-urban air or from high stacks,ef762eea-a8a2-49e1-8ed6-a12d325856f4,,,513-35-9
2-Methyl-2-butene,000513-35-9,,n-Amylene,kg,chemical,,,air/unspecified,4e44630f-4197-4f05-809f-0fef07fba7d3,,,513-35-9
2-Methyl-2-butene,000513-35-9,,n-Amylene,kg,chemical,,,air/urban air close to ground,79a87f98-0b00-4e7e-86f8-70667307f696,,,513-35-9
2-Methyl-2-butene,000513-35-9,,n-Amylene,kg,chemical,,,water/ground-,efe94e38-a449-4817-94c1-7aedf1022714,,,513-35-9
2-Methyl-2-butene,000513-35-9,,n-Amylene,kg,chemical,,,"water/ground-, long-term",fc81e3b6-8538-4e74-9303-26cf397f19cb,,,513-35-9
2-Methyl-2-butene,000513-35-9,,n-Amylene,kg,chemical,,,water/ocean,b5a8e697-f5ac-413f-828c-51f6aace2e36,,,513-35-9
2-Methyl-2-butene,000513-35-9,,n-Amylene,kg,chemical,,,water/surface water,2df5a2fe-1ab2-48e7-a9a6-1085703b17be,,,513-35-9
2-Methyl-2-butene,000513-35-9,,n-Amylene,kg,chemical,,,water/unspecified,23868338-42bc-4baf-a9e2-8e84ff8c92f1,,,513-35-9
2-Nitrobenzoic acid,000552-16-9,,"o-nitrobenzoic acid, ortho-nitrobenzoic acid",kg,chemical,,,"air/low population density, long-term",409f0e6f-f0a5-4011-8f85-938e9a078f92,,,552-16-9
2-Nitrobenzoic acid,000552-16-9,,"o-nitrobenzoic acid, ortho-nitrobenzoic acid",kg,chemical,,,air/lower stratosphere + upper troposphere,878099e4-3f82-4ec6-88c5-1acd745bf01a,,,552-16-9
2-Nitrobenzoic acid,000552-16-9,,"o-nitrobenzoic acid, ortho-nitrobenzoic acid",kg,chemical,,,air/non-urban air or from high stacks,5884b91e-d758-4fb4-9bf0-6cf87093cdb2,,,552-16-9
2-Nitrobenzoic acid,000552-16-9,,"o-nitrobenzoic acid, ortho-nitrobenzoic acid",kg,chemical,,,air/unspecified,98d3f159-b420-4e43-aab5-4fd093b82429,,,552-16-9
2-Nitrobenzoic acid,000552-16-9,,"o-nitrobenzoic acid, ortho-nitrobenzoic acid",kg,chemical,,,air/urban air close to ground,90d374f1-b739-45b2-a734-d6bdd8c8dc9c,,,552-16-9
2-Phenylphenol,000090-43-7,,,kg,chemical,,,soil/agricultural,5357f101-f2df-5f6e-b534-f1705b597773,,,61788-42-9; 90-43-7; 90-43-7
2-Propanol,000067-63-0,,"Isopropanol, Isopropyl alcohol",kg,chemical,,,"air/low population density, long-term",326b94e8-aea0-4bd4-8a50-63bf283882a8,,,33225-60-4; 21388-65-8; 67-63-0; 67-63-0
2-Propanol,000067-63-0,,"Isopropanol, Isopropyl alcohol",kg,chemical,,,air/lower stratosphere + upper troposphere,1cd24bc8-53b9-43e8-ad58-4438c9244a10,,,33225-60-4; 21388-65-8; 67-63-0; 67-63-0
2-Propanol,000067-63-0,,"Isopropanol, Isopropyl alcohol",kg,chemical,,,air/non-urban air or from high stacks,ed1aff41-0bfc-48b8-8250-840c0a2f6961,,,33225-60-4; 21388-65-8; 67-63-0; 67-63-0
2-Propanol,000067-63-0,,"Isopropanol, Isopropyl alcohol",kg,chemical,,,air/unspecified,479edec6-763c-49fc-83f8-49780f08cf29,,,33225-60-4; 21388-65-8; 67-63-0; 67-63-0
2-Propanol,000067-63-0,,,kg,chemical,,,air/urban air close to ground,cbf58f64-9286-406f-8dcb-ef1d81eec980,,,33225-60-4; 21388-65-8; 67-63-0; 67-63-0
2-Propanol,000067-63-0,,"Isopropanol, Isopropyl alcohol",kg,chemical,,,water/ground-,697667f9-d58c-4a64-99e3-30d24d7f91a2,,,33225-60-4; 21388-65-8; 67-63-0; 67-63-0
2-Propanol,000067-63-0,,"Isopropanol, Isopropyl alcohol",kg,chemical,,,"water/ground-, long-term",56217fe7-9437-4131-9ae2-e4c4b07b3a64,,,33225-60-4; 21388-65-8; 67-63-0; 67-63-0
2-Propanol,000067-63-0,,"Isopropanol, Isopropyl alcohol",kg,chemical,,,water/ocean,5b33703d-d6a1-4bde-88e7-3b90b4d45550,,,33225-60-4; 21388-65-8; 67-63-0; 67-63-0
2-Propanol,000067-63-0,,"Isopropanol, Isopropyl alcohol",kg,chemical,,,water/surface water,caeb15fa-9711-4d37-99a2-d12c7823b8bc,,,33225-60-4; 21388-65-8; 67-63-0; 67-63-0
2-Propanol,000067-63-0,,"Isopropanol, Isopropyl alcohol",kg,chemical,,,water/unspecified,e92a1310-603c-4346-85b8-e4e3192cd75c,,,33225-60-4; 21388-65-8; 67-63-0; 67-63-0
3-Methyl-1-butanol,000123-51-3,,isoamyl alcohol,kg,chemical,,,"air/low population density, long-term",dc50265c-a1ea-49b3-97a9-fad6f1da0bd7,,,123-51-3
3-Methyl-1-butanol,000123-51-3,,isoamyl alcohol,kg,chemical,,,air/lower stratosphere + upper troposphere,f792a1df-81cb-4c95-8c4a-e0626701e619,,,123-51-3
3-Methyl-1-butanol,000123-51-3,,Isopentyl alcohol,kg,chemical,,,air/non-urban air or from high stacks,8d50d9ce-3284-4a1e-ab89-2a7a931b110d,,,123-51-3
3-Methyl-1-butanol,000123-51-3,,Isopentyl alcohol,kg,chemical,,,air/unspecified,1eefb686-03de-4dc8-933a-e3b7459438da,,,123-51-3
3-Methyl-1-butanol,000123-51-3,,Isopentyl alcohol,kg,chemical,,,air/urban air close to ground,c6310f81-3859-4c5c-990a-4662ba179693,,,123-51-3
3-Methyl-1-butanol,000123-51-3,,"isoamyl alcohol, Isopentyl alcohol",kg,chemical,,,water/ground-,35f2e680-fd3b-4fce-8ae2-a700438aa097,,,123-51-3
3-Methyl-1-butanol,000123-51-3,,"isoamyl alcohol, Isopentyl alcohol",kg,chemical,,,"water/ground-, long-term",f9f1397d-ddd2-4568-9f32-6cac992f0c1e,,,123-51-3
3-Methyl-1-butanol,000123-51-3,,"isoamyl alcohol, Isopentyl alcohol",kg,chemical,,,water/ocean,4df58e33-3e3e-4ae0-ad3c-36b5cfc7a541,,,123-51-3
3-Methyl-1-butanol,000123-51-3,,"isoamyl alcohol, Isopentyl alcohol",kg,chemical,,,water/surface water,6abb5a34-7f0b-4a9a-8452-211a0ebee04d,,,123-51-3
3-Methyl-1-butanol,000123-51-3,,"isoamyl alcohol, Isopentyl alcohol",kg,chemical,,,water/unspecified,8114f79d-41eb-42f2-99d8-159db57d3bcb,,,123-51-3
4-Methyl-2-pentanol,000108-11-2,,"Methyl isobutyl carbinol, Methylamyl alcohol",kg,chemical,,,water/ground-,70c436a2-c304-4405-9230-dcfbb7b11dde,,,108-11-2
4-Methyl-2-pentanol,000108-11-2,,"Methyl isobutyl carbinol, Methylamyl alcohol",kg,chemical,,,"water/ground-, long-term",57cb82d2-19f4-4491-8ffc-f65f9ff7b418,,,108-11-2
4-Methyl-2-pentanol,000108-11-2,,"Methyl isobutyl carbinol, Methylamyl alcohol",kg,chemical,,,water/ocean,1911896c-5aff-4695-9cba-164b0ecd9199,,,108-11-2
4-Methyl-2-pentanol,000108-11-2,,"Methyl isobutyl carbinol, Methylamyl alcohol",kg,chemical,,,water/surface water,179c3a4c-4d0c-4928-b099-2652fac747cd,,,108-11-2
4-Methyl-2-pentanol,000108-11-2,,"Methyl isobutyl carbinol, Methylamyl alcohol",kg,chemical,,,water/unspecified,56e7c4ee-29a0-4d90-a44d-ee7e7faade83,,,108-11-2
4-Methyl-2-pentanone,000108-10-1,,"Methyl isobutyl ketone, MIBK",kg,chemical,,,"air/low population density, long-term",497e2e7c-0e1a-4b9f-a94e-d63d5e49dcf8,,,108-10-1
4-Methyl-2-pentanone,000108-10-1,,"Methyl isobutyl ketone, MIBK",kg,chemical,,,air/lower stratosphere + upper troposphere,a6dd536a-5443-4c23-bb5e-60f0fa68af13,,,108-10-1
4-Methyl-2-pentanone,000108-10-1,,"Methyl isobutyl ketone, MIBK",kg,chemical,,,air/non-urban air or from high stacks,6ed53433-96ff-402c-87d0-52b8271aadac,,,108-10-1
4-Methyl-2-pentanone,000108-10-1,,"Methyl isobutyl ketone, MIBK",kg,chemical,,,air/unspecified,53214ef0-3cc1-4166-920b-08ca46f7c457,,,108-10-1
4-Methyl-2-pentanone,000108-10-1,,"Methyl isobutyl ketone, MIBK",kg,chemical,,,air/urban air close to ground,9fbec2f4-6b42-4e63-9573-14e04befe20f,,,108-10-1
4-Methyl-2-pentanone,000108-10-1,,"Methyl isobutyl ketone, MIBK",kg,chemical,,,water/ground-,b9fbef13-2fbf-4783-b7ff-b2ecabf2a55c,,,108-10-1
4-Methyl-2-pentanone,000108-10-1,,"Methyl isobutyl ketone, MIBK",kg,chemical,,,"water/ground-, long-term",663ca947-9c87-4fb3-885f-f65789a93671,,,108-10-1
4-Methyl-2-pentanone,000108-10-1,,"Methyl isobutyl ketone, MIBK",kg,chemical,,,water/ocean,f6a4bdb1-d67e-4c00-adf3-df344701bde9,,,108-10-1
4-Methyl-2-pentanone,000108-10-1,,"Methyl isobutyl ketone, MIBK",kg,chemical,,,water/surface water,1a19ad61-abd0-4d42-9828-8fae315c0b06,,,108-10-1
4-Methyl-2-pentanone,000108-10-1,,,kg,chemical,,,water/unspecified,f9d36529-abde-4ed2-a82c-d365ae2c713f,,,108-10-1
8-Quinolinol,000148-24-3,,,kg,chemical,,,soil/agricultural,3d071bc4-855b-52d7-baa8-2cacbf536777,,,148-24-3
Abamectin,071751-41-2,, Zephyr,kg,chemical,,,soil/agricultural,3166d308-cc57-4d31-b42e-63c7eada821f,,,
Acenaphthene,000083-32-9,,,kg,chemical,,,"air/low population density, long-term",0555dc8e-d8b3-4da1-afaa-a2144758d590,,,83-32-9
Acenaphthene,000083-32-9,,,kg,chemical,,,air/lower stratosphere + upper troposphere,f6432a5a-eb35-4395-9909-5d0e17296681,,,83-32-9
Acenaphthene,000083-32-9,,,kg,chemical,,,air/non-urban air or from high stacks,922a7ccf-3338-43ad-bd7e-77d51df051ab,,,83-32-9
Acenaphthene,000083-32-9,,,kg,chemical,,,air/unspecified,1f4afa32-a9a2-40da-8396-104452cb637f,,,83-32-9
Acenaphthene,000083-32-9,,,kg,chemical,,,air/urban air close to ground,99c07b66-c039-4896-866d-06abdaa9d46a,,,83-32-9
Acenaphthene,000083-32-9,,,kg,chemical,,,water/ground-,0bc097f2-00ee-416f-a275-2c05d1e6d482,,,83-32-9
Acenaphthene,000083-32-9,,,kg,chemical,,,"water/ground-, long-term",26eb22d8-e0cf-45a6-b09e-b8609fe6c8eb,,,83-32-9
Acenaphthene,000083-32-9,,,kg,chemical,,,water/ocean,a6ad3fc7-c019-454f-a899-43be7913a598,,,83-32-9
Acenaphthene,000083-32-9,,,kg,chemical,,,water/surface water,5c238e5f-97c8-4837-8d67-48899ddd43be,,,83-32-9
Acenaphthene,000083-32-9,,,kg,chemical,,,water/unspecified,8732d8b5-7f41-498c-be37-5bcd7a802ee6,,,83-32-9
Acenaphthylene,000208-96-8,,,kg,chemical,,,air/unspecified,e0346157-1f0e-4bf9-b234-78fead761e18,,,34493-60-2; 189811-56-1; 208-96-8; 208-96-8
Acenaphthylene,000208-96-8,,,kg,chemical,,,water/ground-,a998fad5-65bc-4ea9-905b-df4d5e667358,,,34493-60-2; 189811-56-1; 208-96-8; 208-96-8
Acenaphthylene,000208-96-8,,,kg,chemical,,,"water/ground-, long-term",15b58430-7bd4-4c6c-967e-514538c85b8d,,,34493-60-2; 189811-56-1; 208-96-8; 208-96-8
Acenaphthylene,000208-96-8,,,kg,chemical,,,water/ocean,9dc481e4-e4cd-4cb1-a03e-d539f774e958,,,34493-60-2; 189811-56-1; 208-96-8; 208-96-8
Acenaphthylene,000208-96-8,,,kg,chemical,,,water/surface water,ec4a104f-eab5-4a06-bd0a-e1c34d888718,,,34493-60-2; 189811-56-1; 208-96-8; 208-96-8
Acenaphthylene,000208-96-8,,,kg,chemical,,,water/unspecified,7c02a013-712f-4588-bfd8-247078e0f4d8,,,34493-60-2; 189811-56-1; 208-96-8; 208-96-8
Acephate,030560-19-1,C4H10NO3PS,,kg,chemical,,,air/non-urban air or from high stacks,73a06727-fec3-4d8d-8de5-ef1a0cc2c280,,,115096-11-2; 2140327-70-2; 30560-19-1; 30560-19-1
Acephate,030560-19-1,,Ortho 12420,kg,chemical,,,soil/agricultural,cdcdbfc9-3d5f-4e78-8033-8dbecbb2cfec,,,115096-11-2; 2140327-70-2; 30560-19-1; 30560-19-1
Acetaldehyde,000075-07-0,,,kg,chemical,,,"air/low population density, long-term",55b0bc94-7f43-4930-ad57-25af3f892757,,,75-07-0
Acetaldehyde,000075-07-0,,,kg,chemical,,,air/lower stratosphere + upper troposphere,43a7e8ef-634e-401b-92f1-32cb42f226ac,,,75-07-0
